sheepX,sheepY,wolfX,wolfY
724,215,724,66
725,215,725,66
726,219,726,66
727,222,727,66
728,219,728,66
729,214,729,66
730,217,730,66
731,220,731,66
732,221,732,66
733,220,733,66
734,222,734,66
735,220,735,66
736,221,736,66
737,220,737,66
738,224,738,66
739,225,739,66
740,228,740,66
741,234,741,66
742,230,742,66
743,227,743,66
744,230,744,66
745,231,745,66
746,235,746,66
747,231,747,66
748,230,748,66
749,234,749,66
750,239,750,66
751,235,751,66
752,233,752,66
753,237,753,66
754,240,754,66
755,241,755,66
756,239,756,66
757,244,757,66
758,242,758,66
759,245,759,66
760,251,760,66
761,249,761,66
762,247,762,66
763,247,763,66
764,243,764,66
765,243,765,66
766,241,766,66
767,243,767,66
768,242,768,66
769,243,769,66
770,237,770,66
771,237,771,66
772,235,772,66
773,235,773,66
774,238,774,66
775,241,775,66
776,241,776,66
777,240,777,66
778,240,778,66
779,245,779,66
780,246,780,66
781,250,781,66
782,248,782,66
783,251,783,66
784,256,784,66
785,259,785,66
786,259,786,66
787,261,787,66
788,256,788,66
789,252,789,66
790,253,790,66
791,254,791,66
792,250,792,66
793,244,793,66
794,239,794,66
795,236,795,66
796,241,796,66
797,232,797,66
798,233,798,66
799,237,799,66
800,237,800,66
801,235,801,66
802,229,802,66
803,227,803,66
804,222,804,66
805,222,805,66
806,220,806,66
807,219,807,66
808,220,808,66
809,219,809,66
810,220,810,66
811,221,811,66
812,218,812,66
813,222,813,66
814,218,814,66
815,219,815,66
816,220,816,66
817,213,817,66
818,212,818,66
819,212,819,66
820,215,820,66
821,213,821,66
822,213,822,66
823,215,823,66
824,216,824,66
825,221,825,66
826,218,826,66
827,219,827,66
828,223,828,66
829,223,829,66
830,218,830,66
831,218,831,66
832,214,832,66
833,215,833,66
834,214,834,66
835,209,835,66
836,209,836,66
837,213,837,66
838,209,838,66
839,208,839,66
840,208,840,66
841,208,841,66
842,208,842,66
843,209,843,66
844,212,844,66
845,209,845,66
846,208,846,66
847,210,847,66
848,209,848,66
849,208,849,66
850,206,850,66
851,207,851,66
852,203,852,66
853,205,853,66
854,200,854,66
855,198,855,66
856,199,856,66
857,201,857,66
858,199,858,66
859,201,859,66
860,203,860,66
861,201,861,66
862,204,862,66
863,201,863,66
864,199,864,66
865,202,865,66
866,205,866,66
867,209,867,66
868,210,868,66
869,205,869,66
870,205,870,66
871,204,871,66
872,200,872,66
873,198,873,66
874,198,874,66
875,197,875,66
876,194,876,66
877,193,877,66
878,193,878,66
879,197,879,66
880,195,880,66
881,195,881,66
882,195,882,66
883,195,883,66
884,198,884,66
885,198,885,66
886,198,886,66
887,198,887,66
888,195,888,66
889,196,889,66
890,195,890,66
891,194,891,66
892,196,892,66
893,198,893,66
894,196,894,66
895,198,895,66
896,192,896,66
897,192,897,66
898,192,898,66
899,192,899,66
900,191,900,66
901,190,901,66
902,189,902,66
903,191,903,66
904,193,904,66
905,192,905,66
906,188,906,66
907,188,907,66
908,186,908,66
909,184,909,66
910,188,910,66
911,189,911,66
912,191,912,66
913,198,913,66
914,200,914,66
915,197,915,66
916,200,916,66
917,200,917,66
918,200,918,66
919,198,919,66
920,197,920,66
921,196,921,66
922,194,922,66
923,193,923,66
924,195,924,66
925,194,925,66
926,195,926,66
927,194,927,66
928,199,928,66
929,201,929,66
930,202,930,66
931,201,931,66
932,205,932,66
933,204,933,66
934,208,934,66
935,210,935,66
936,212,936,66
937,214,937,66
938,212,938,66
939,213,939,66
940,216,940,66
941,214,941,66
942,212,942,66
943,206,943,66
944,208,944,66
945,206,945,66
946,205,946,66
947,210,947,66
948,210,948,66
949,211,949,66
950,204,950,66
951,213,951,66
952,213,952,66
953,212,953,66
954,211,954,66
955,211,955,66
956,205,956,66
957,207,957,66
958,205,958,66
959,205,959,66
960,205,960,66
961,198,961,66
962,198,962,66
963,202,963,66
964,202,964,66
965,198,965,66
966,198,966,66
967,207,967,66
968,205,968,66
969,206,969,66
970,204,970,66
971,207,971,66
972,209,972,66
973,210,973,66
974,210,974,66
975,209,975,66
976,212,976,66
977,213,977,66
978,213,978,66
979,215,979,66
980,212,980,66
981,210,981,66
982,207,982,66
983,207,983,66
984,204,984,66
985,207,985,66
986,209,986,66
987,208,987,66
988,210,988,66
989,208,989,66
990,214,990,66
991,217,991,66
992,218,992,66
993,216,993,66
994,212,994,66
995,215,995,66
996,217,996,66
997,215,997,66
998,216,998,66
999,211,999,66
1000,211,1000,66
1001,208,1001,66
1002,204,1002,66
1003,200,1003,66
1004,201,1004,66
1005,200,1005,66
1006,198,1006,66
1007,199,1007,66
1008,204,1008,66
1009,205,1009,66
1010,205,1010,66
1011,208,1011,66
1012,210,1012,66
1013,208,1013,66
1014,210,1014,66
1015,210,1015,66
1016,210,1016,66
1017,212,1017,66
1018,210,1018,66
1019,213,1019,66
1020,213,1020,66
1021,216,1021,66
1022,214,1022,66
1023,214,1023,66
1024,210,1024,66
1025,208,1025,66
1026,205,1026,66
1027,200,1027,66
1028,198,1028,66
1029,195,1029,66
1030,197,1030,66
1031,197,1031,66
1032,195,1032,66
1033,195,1033,66
1034,193,1034,66
1035,192,1035,66
1036,187,1036,66
1037,188,1037,66
1038,189,1038,66
1039,195,1039,66
1040,196,1040,66
1041,195,1041,66
1042,196,1042,66
1043,195,1043,66
1044,198,1044,66
1045,196,1045,66
1046,195,1046,66
1047,196,1047,66
1048,196,1048,66
1049,196,1049,66
1050,200,1050,66
1051,205,1051,66
1052,206,1052,66
1053,205,1053,66
1054,205,1054,66
1055,203,1055,66
1056,204,1056,66
1057,202,1057,66
1058,203,1058,66
1059,198,1059,66
1060,194,1060,66
1061,195,1061,66
1062,192,1062,66
1063,193,1063,66
1064,192,1064,66
1065,189,1065,66
1066,186,1066,66
1067,183,1067,66
1068,182,1068,66
1069,180,1069,66
1070,182,1070,66
1071,183,1071,66
1072,183,1072,66
1073,180,1073,66
1074,181,1074,66
1075,179,1075,66
1076,177,1076,66
1077,178,1077,66
1078,180,1078,66
1079,176,1079,66
1080,176,1080,66
1081,176,1081,66
1082,176,1082,66
1083,175,1083,66
1084,170,1084,66
1085,174,1085,66
1086,171,1086,66
1087,170,1087,66
1088,173,1088,66
1089,175,1089,66
1090,177,1090,66
1091,180,1091,66
1092,180,1092,66
1093,183,1093,66
1094,175,1094,66
1095,176,1095,66
1096,178,1096,66
1097,178,1097,66
1098,175,1098,66
1099,175,1099,66
1100,170,1100,66
1101,171,1101,66
1102,171,1102,66
1103,171,1103,66
1104,171,1104,66
1105,174,1105,66
1106,174,1106,66
1107,179,1107,66
1108,185,1108,66
1109,188,1109,66
1110,184,1110,66
1111,185,1111,66
1112,186,1112,66
1113,184,1113,66
1114,182,1114,66
1115,183,1115,66
1116,186,1116,66
1117,181,1117,66
1118,180,1118,66
1119,184,1119,66
1120,184,1120,66
1121,185,1121,66
1122,186,1122,66
1123,184,1123,66
1124,186,1124,66
1125,186,1125,66
1126,186,1126,66
1127,183,1127,66
1128,180,1128,66
1129,181,1129,66
1130,177,1130,66
1131,177,1131,66
1132,175,1132,66
1133,174,1133,66
1134,175,1134,66
1135,171,1135,66
1136,177,1136,66
1137,175,1137,66
